times 0, TL: 0.0047, VL: 0.0058, TA: 100.00, VA: 100.00
times 1, TL: 0.0000, VL: 0.0155, TA: 100.00, VA: 99.49
times 2, TL: 0.0080, VL: 0.0213, TA: 100.00, VA: 100.00
times 3, TL: 0.0097, VL: 0.0384, TA: 100.00, VA: 100.00
times 4, TL: 0.0011, VL: 0.0079, TA: 100.00, VA: 100.00
times 5, TL: 0.0037, VL: 0.0149, TA: 100.00, VA: 100.00
times 6, TL: 0.0020, VL: 0.0106, TA: 100.00, VA: 100.00
times 7, TL: 0.0025, VL: 0.0183, TA: 100.00, VA: 100.00
times 8, TL: 0.0016, VL: 0.0100, TA: 100.00, VA: 100.00
times 9, TL: 0.0001, VL: 0.0139, TA: 100.00, VA: 99.23
times 10, TL: 0.0070, VL: 0.0317, TA: 100.00, VA: 100.00
times 11, TL: 0.0003, VL: 0.0079, TA: 100.00, VA: 99.49
times 12, TL: 0.0001, VL: 0.0231, TA: 100.00, VA: 98.97
times 13, TL: 0.0005, VL: 0.0072, TA: 100.00, VA: 100.00
times 14, TL: 0.0016, VL: 0.0210, TA: 100.00, VA: 98.97
times 15, TL: 0.0001, VL: 0.0045, TA: 100.00, VA: 100.00
times 16, TL: 0.0000, VL: 0.0104, TA: 100.00, VA: 99.49
times 17, TL: 0.0018, VL: 0.0070, TA: 100.00, VA: 100.00
times 18, TL: 0.0379, VL: 0.0475, TA: 98.61, VA: 98.21
times 19, TL: 0.0001, VL: 0.0094, TA: 100.00, VA: 99.23
times 20, TL: 0.0003, VL: 0.0111, TA: 100.00, VA: 99.49
times 21, TL: 0.0019, VL: 0.0090, TA: 100.00, VA: 100.00
times 22, TL: 0.0011, VL: 0.0062, TA: 100.00, VA: 100.00
times 23, TL: 0.0021, VL: 0.0037, TA: 100.00, VA: 100.00
times 24, TL: 0.0014, VL: 0.0078, TA: 100.00, VA: 100.00
times 25, TL: 0.0000, VL: 0.0259, TA: 100.00, VA: 98.97
times 26, TL: 0.0017, VL: 0.0060, TA: 100.00, VA: 100.00
times 27, TL: 0.0007, VL: 0.0090, TA: 100.00, VA: 100.00
times 28, TL: 0.0046, VL: 0.0111, TA: 100.00, VA: 100.00
times 29, TL: 0.0242, VL: 0.0606, TA: 99.39, VA: 97.44
times 30, TL: 0.0016, VL: 0.0062, TA: 100.00, VA: 100.00
times 31, TL: 0.0001, VL: 0.0084, TA: 100.00, VA: 99.74
times 32, TL: 0.0027, VL: 0.0128, TA: 100.00, VA: 100.00
times 33, TL: 0.0012, VL: 0.0167, TA: 100.00, VA: 100.00
times 34, TL: 0.0003, VL: 0.0297, TA: 100.00, VA: 99.23
times 35, TL: 0.0001, VL: 0.0053, TA: 100.00, VA: 99.74
times 36, TL: 0.0001, VL: 0.0071, TA: 100.00, VA: 100.00
times 37, TL: 0.0436, VL: 0.0355, TA: 100.00, VA: 100.00
times 38, TL: 0.0000, VL: 0.0121, TA: 100.00, VA: 99.49
times 39, TL: 0.0004, VL: 0.0189, TA: 100.00, VA: 99.23
times 40, TL: 0.0001, VL: 0.0136, TA: 100.00, VA: 99.74
times 41, TL: 0.0000, VL: 0.0059, TA: 100.00, VA: 99.74
times 42, TL: 0.0001, VL: 0.0103, TA: 100.00, VA: 99.74
times 43, TL: 0.0023, VL: 0.0120, TA: 100.00, VA: 99.49
times 44, TL: 0.0012, VL: 0.0070, TA: 100.00, VA: 100.00
times 45, TL: 0.0331, VL: 0.0600, TA: 100.00, VA: 100.00
times 46, TL: 0.0000, VL: 0.0059, TA: 100.00, VA: 99.74
times 47, TL: 0.0058, VL: 0.0082, TA: 100.00, VA: 100.00
times 48, TL: 0.0027, VL: 0.0096, TA: 100.00, VA: 100.00
times 49, TL: 0.0000, VL: 0.0108, TA: 100.00, VA: 99.74
