times 0, TL: 0.0002, VL: 0.0153, TA: 100.00, VA: 99.74
times 1, TL: 0.0019, VL: 0.0086, TA: 100.00, VA: 100.00
times 2, TL: 0.0001, VL: 0.0128, TA: 100.00, VA: 99.23
times 3, TL: 0.0214, VL: 0.0321, TA: 99.52, VA: 99.23
times 4, TL: 0.0018, VL: 0.0124, TA: 100.00, VA: 100.00
times 5, TL: 0.0105, VL: 0.0608, TA: 99.70, VA: 98.21
times 6, TL: 0.0028, VL: 0.0125, TA: 100.00, VA: 100.00
times 7, TL: 0.0012, VL: 0.0089, TA: 100.00, VA: 100.00
times 8, TL: 0.0002, VL: 0.0151, TA: 100.00, VA: 99.23
times 9, TL: 0.0062, VL: 0.0199, TA: 100.00, VA: 100.00
times 10, TL: 0.0001, VL: 0.0124, TA: 100.00, VA: 99.49
times 11, TL: 0.0003, VL: 0.0241, TA: 100.00, VA: 98.72
times 12, TL: 0.0004, VL: 0.0096, TA: 100.00, VA: 99.74
times 13, TL: 0.0003, VL: 0.0057, TA: 100.00, VA: 100.00
times 14, TL: 0.0002, VL: 0.0040, TA: 100.00, VA: 100.00
times 15, TL: 0.0017, VL: 0.0076, TA: 100.00, VA: 100.00
times 16, TL: 0.0002, VL: 0.0170, TA: 100.00, VA: 99.49
times 17, TL: 0.0005, VL: 0.0176, TA: 100.00, VA: 99.23
times 18, TL: 0.0021, VL: 0.0143, TA: 100.00, VA: 100.00
times 19, TL: 0.0010, VL: 0.0056, TA: 100.00, VA: 100.00
times 20, TL: 0.0137, VL: 0.0185, TA: 100.00, VA: 100.00
times 21, TL: 0.0002, VL: 0.0042, TA: 100.00, VA: 100.00
times 22, TL: 0.0885, VL: 0.4246, TA: 97.45, VA: 89.23
times 23, TL: 0.0001, VL: 0.0344, TA: 100.00, VA: 98.97
times 24, TL: 0.0002, VL: 0.0196, TA: 100.00, VA: 99.49
times 25, TL: 0.0140, VL: 0.0264, TA: 100.00, VA: 100.00
times 26, TL: 0.0007, VL: 0.0033, TA: 100.00, VA: 100.00
times 27, TL: 0.0001, VL: 0.0090, TA: 100.00, VA: 99.23
times 28, TL: 0.0026, VL: 0.0214, TA: 100.00, VA: 99.74
times 29, TL: 0.0100, VL: 0.0212, TA: 100.00, VA: 100.00
times 30, TL: 0.0862, VL: 0.1584, TA: 97.27, VA: 93.59
times 31, TL: 0.0002, VL: 0.0111, TA: 100.00, VA: 99.49
times 32, TL: 0.0002, VL: 0.0355, TA: 100.00, VA: 99.23
times 33, TL: 0.0663, VL: 0.0487, TA: 100.00, VA: 100.00
times 34, TL: 0.0006, VL: 0.0206, TA: 100.00, VA: 99.49
times 35, TL: 0.0005, VL: 0.0252, TA: 100.00, VA: 99.23
times 36, TL: 0.0001, VL: 0.0171, TA: 100.00, VA: 99.23
times 37, TL: 0.0143, VL: 0.0222, TA: 100.00, VA: 100.00
times 38, TL: 0.0035, VL: 0.0165, TA: 100.00, VA: 100.00
times 39, TL: 0.0001, VL: 0.0134, TA: 100.00, VA: 98.97
times 40, TL: 0.0014, VL: 0.0085, TA: 100.00, VA: 100.00
times 41, TL: 0.0006, VL: 0.0159, TA: 100.00, VA: 99.49
times 42, TL: 0.0078, VL: 0.0170, TA: 100.00, VA: 100.00
times 43, TL: 0.0001, VL: 0.0045, TA: 100.00, VA: 100.00
times 44, TL: 0.0011, VL: 0.0098, TA: 100.00, VA: 100.00
times 45, TL: 0.0060, VL: 0.0219, TA: 99.83, VA: 99.23
times 46, TL: 0.0000, VL: 0.0239, TA: 100.00, VA: 99.49
times 47, TL: 0.0049, VL: 0.0595, TA: 99.87, VA: 97.69
times 48, TL: 0.0002, VL: 0.0088, TA: 100.00, VA: 99.49
times 49, TL: 0.0002, VL: 0.0086, TA: 100.00, VA: 99.23
