times 0, TL: 0.0001, VL: 0.0062, TA: 100.00, VA: 100.00
times 1, TL: 0.0013, VL: 0.0071, TA: 100.00, VA: 100.00
times 2, TL: 0.0001, VL: 0.0082, TA: 100.00, VA: 100.00
times 3, TL: 0.0013, VL: 0.0067, TA: 100.00, VA: 100.00
times 4, TL: 0.0021, VL: 0.0091, TA: 100.00, VA: 100.00
times 5, TL: 0.0001, VL: 0.0181, TA: 100.00, VA: 99.49
times 6, TL: 0.0040, VL: 0.0123, TA: 100.00, VA: 100.00
times 7, TL: 0.0003, VL: 0.0147, TA: 100.00, VA: 99.49
times 8, TL: 0.0041, VL: 0.0126, TA: 100.00, VA: 100.00
times 9, TL: 0.0001, VL: 0.0263, TA: 100.00, VA: 98.97
times 10, TL: 0.0001, VL: 0.0146, TA: 100.00, VA: 99.74
times 11, TL: 0.0000, VL: 0.0183, TA: 100.00, VA: 99.49
times 12, TL: 0.0003, VL: 0.0065, TA: 100.00, VA: 100.00
times 13, TL: 0.0006, VL: 0.0080, TA: 100.00, VA: 100.00
times 14, TL: 0.0068, VL: 0.0173, TA: 100.00, VA: 100.00
times 15, TL: 0.0018, VL: 0.0061, TA: 100.00, VA: 100.00
times 16, TL: 0.0000, VL: 0.0114, TA: 100.00, VA: 98.97
times 17, TL: 0.0000, VL: 0.0045, TA: 100.00, VA: 100.00
times 18, TL: 0.0001, VL: 0.0159, TA: 100.00, VA: 99.49
times 19, TL: 0.0034, VL: 0.0090, TA: 100.00, VA: 100.00
times 20, TL: 0.0001, VL: 0.0064, TA: 100.00, VA: 99.49
times 21, TL: 0.0001, VL: 0.0125, TA: 100.00, VA: 99.49
times 22, TL: 0.0002, VL: 0.0066, TA: 100.00, VA: 100.00
times 23, TL: 0.0001, VL: 0.0085, TA: 100.00, VA: 99.49
times 24, TL: 0.0001, VL: 0.0082, TA: 100.00, VA: 99.74
times 25, TL: 0.0001, VL: 0.0088, TA: 100.00, VA: 99.49
times 26, TL: 0.0001, VL: 0.0162, TA: 100.00, VA: 99.74
times 27, TL: 0.0035, VL: 0.0069, TA: 100.00, VA: 100.00
times 28, TL: 0.0000, VL: 0.0121, TA: 100.00, VA: 99.23
times 29, TL: 0.0000, VL: 0.0120, TA: 100.00, VA: 99.49
times 30, TL: 0.0003, VL: 0.0214, TA: 100.00, VA: 99.49
times 31, TL: 0.0002, VL: 0.0078, TA: 100.00, VA: 99.74
times 32, TL: 0.0003, VL: 0.0092, TA: 100.00, VA: 100.00
times 33, TL: 0.0001, VL: 0.0215, TA: 100.00, VA: 99.23
times 34, TL: 0.0027, VL: 0.0139, TA: 100.00, VA: 100.00
times 35, TL: 0.0068, VL: 0.0148, TA: 100.00, VA: 100.00
times 36, TL: 0.0001, VL: 0.0277, TA: 100.00, VA: 99.49
times 37, TL: 0.0010, VL: 0.0192, TA: 100.00, VA: 98.97
times 38, TL: 0.0044, VL: 0.0168, TA: 100.00, VA: 100.00
times 39, TL: 0.0016, VL: 0.0085, TA: 100.00, VA: 100.00
times 40, TL: 0.0108, VL: 0.0375, TA: 99.78, VA: 98.46
times 41, TL: 0.0003, VL: 0.0060, TA: 100.00, VA: 100.00
times 42, TL: 0.0005, VL: 0.0055, TA: 100.00, VA: 100.00
times 43, TL: 0.0001, VL: 0.0051, TA: 100.00, VA: 99.74
times 44, TL: 0.0030, VL: 0.0090, TA: 100.00, VA: 100.00
times 45, TL: 0.0001, VL: 0.0102, TA: 100.00, VA: 99.74
times 46, TL: 0.0006, VL: 0.0065, TA: 100.00, VA: 100.00
times 47, TL: 0.0006, VL: 0.0119, TA: 100.00, VA: 99.74
times 48, TL: 0.0000, VL: 0.0140, TA: 100.00, VA: 99.23
times 49, TL: 0.0002, VL: 0.0173, TA: 100.00, VA: 99.49
